card_en,card_zh,arcana,number,upright_s,upright_d,upright_basis,reversed_s,reversed_d,reversed_basis
"The Fool","愚人",major,0,4,8,"new beginning; freedom; risk; potential",-4,-2,"folly; carelessness; unstable choice"
"The Magician","魔术师",major,1,8,10,"skill; will; initiative; manifestation",-6,-4,"manipulation; weak will; misused ability"
"The High Priestess","女祭司",major,2,4,0,"intuition; mystery; inner knowledge",-2,-2,"surface knowledge; blocked intuition; concealment"
"The Empress","皇后",major,3,8,6,"fertility; abundance; growth; nurture",-4,-2,"dependence; blocked growth; neglect"
"The Emperor","皇帝",major,4,7,6,"stability; authority; protection; realization",-5,-4,"domination; rigidity; obstruction; immaturity"
"The Hierophant","教皇",major,5,5,2,"guidance; alliance; tradition; mercy",-2,-2,"weakness; excessive conformity; hollow convention"
"The Lovers","恋人",major,6,8,6,"attraction; union; choice; trials overcome",-6,-4,"disharmony; failure; frustrated union; poor choice"
"The Chariot","战车",major,7,8,10,"will; control; forceful advance; triumph",-8,-8,"loss of control; dispute; conflict; defeat"
"Strength","力量",major,8,8,6,"power; courage; energy; magnanimity",-6,-4,"weakness; abuse of power; discord; disgrace"
"The Hermit","隐者",major,9,3,-2,"prudence; introspection; solitary guidance",-4,-4,"isolation; concealment; fear; excessive caution"
"Wheel of Fortune","命运之轮",major,10,8,8,"fortune; success; change; elevation",6,6,"increase; abundance; excess; amplified change"
"Justice","正义",major,11,6,4,"fairness; rules; contracts; deserved judgment",-6,-4,"bias; legal complication; excessive severity"
"The Hanged Man","倒吊人",major,12,3,-4,"sacrifice; insight; suspension; new perspective",-4,-4,"selfishness; stalling; refusal to release"
"Death","死神",major,13,0,-10,"ending; mortality; irreversible transformation",-6,-6,"inertia; lethargy; petrification; hope destroyed"
"Temperance","节制",major,14,7,2,"moderation; harmony; management; accommodation",-5,-4,"disunion; competing interests; poor combination"
"The Devil","恶魔",major,15,-8,8,"bondage; violence; compulsion; fatal force",-6,-4,"weakness; blindness; unresolved bondage"
"The Tower","高塔",major,16,-10,-10,"calamity; ruin; unforeseen collapse",-8,-6,"continued oppression; confinement; resisted collapse"
"The Star","星星",major,17,8,4,"hope; promise; renewal; expectation",-5,-2,"disappointed hope; diminished expectation"
"The Moon","月亮",major,18,-6,-2,"deception; error; uncertainty; obscurity",-2,0,"minor deception; fluctuation; partial clarification"
"The Sun","太阳",major,19,10,8,"happiness; clarity; vitality; success",6,2,"the same favorable meaning in a lesser degree"
"Judgement","审判",major,20,8,8,"renewal; result; awakening; determination",-4,-2,"weakness; delayed or inadequate decision"
"The World","世界",major,21,10,6,"completion; reward; integration; fulfilled cycle",-4,-4,"inertia; fixity; stagnation; incomplete cycle"
"Ace of Wands","权杖王牌",minor,1,8,10,"creation; enterprise; power; beginning",-7,-6,"fall; decadence; ruin; clouded joy"
"Two of Wands","权杖二",minor,2,5,4,"planning; influence; enterprise; future choice",-3,-2,"surprise; fear; trouble; unstable prospect"
"Three of Wands","权杖三",minor,3,7,4,"established strength; trade; cooperation; expansion",5,2,"end of trouble; relief; adversity suspended"
"Four of Wands","权杖四",minor,4,8,2,"concord; prosperity; repose; celebration",7,1,"prosperity largely retained; benefit delayed or private"
"Five of Wands","权杖五",minor,5,-2,-6,"competition; struggle; contested gain",-6,-6,"litigation; dispute; trickery; contradiction"
"Six of Wands","权杖六",minor,6,9,8,"victory; good news; recognition; progress",-5,-3,"apprehension; delay; treachery; fear"
"Seven of Wands","权杖七",minor,7,6,6,"valor; advantage; defense; perseverance",-4,-3,"perplexity; embarrassment; anxiety; indecision"
"Eight of Wands","权杖八",minor,8,8,10,"activity; speed; movement; swift result",-5,-6,"quarrel; jealousy; delay; scattered motion"
"Nine of Wands","权杖九",minor,9,3,2,"strength in opposition; vigilance; persistence",-6,-4,"obstacle; adversity; calamity; depleted defense"
"Ten of Wands","权杖十",minor,10,-4,-4,"oppression; burden; success made heavy",-6,-5,"difficulty; intrigue; contradiction; blocked completion"
"Page of Wands","权杖侍从",minor,11,5,6,"favorable message; curiosity; early exploration",-4,-4,"bad news; indecision; instability"
"Knight of Wands","权杖骑士",minor,12,2,10,"departure; movement; adventure; rapid change",-6,-8,"rupture; discord; interruption; reckless motion"
"Queen of Wands","权杖王后",minor,13,7,5,"warmth; honor; attraction; practical success",-2,-2,"jealousy; opposition; deceit; constrained goodwill"
"King of Wands","权杖国王",minor,14,7,6,"leadership; honesty; enterprise; sound advice",-4,-3,"severity; intolerance; exacting control"
"Ace of Cups","圣杯王牌",minor,1,9,6,"joy; contentment; love; emotional abundance",-6,-4,"false heart; instability; emotional disruption"
"Two of Cups","圣杯二",minor,2,9,5,"love; partnership; affinity; mutual exchange",-6,-4,"false love; misunderstanding; broken affinity"
"Three of Cups","圣杯三",minor,3,8,6,"celebration; abundance; conclusion; community",-4,-2,"excess; overindulgence; diluted celebration"
"Four of Cups","圣杯四",minor,4,-3,-3,"weariness; dissatisfaction; emotional withdrawal",4,4,"novelty; new relation; renewed interest"
"Five of Cups","圣杯五",minor,5,-6,-4,"loss; regret; incomplete inheritance; grief",4,3,"return; alliance; news; renewed hope"
"Six of Cups","圣杯六",minor,6,5,1,"memory; gifts; childhood; familiar kindness",4,4,"future renewal; new relations; what will come"
"Seven of Cups","圣杯七",minor,7,-3,0,"illusion; fantasy; many unreal options",5,5,"will; determination; project; chosen direction"
"Eight of Cups","圣杯八",minor,8,-4,-6,"abandonment; decline; leaving what failed",7,6,"joy; happiness; feasting; renewed engagement"
"Nine of Cups","圣杯九",minor,9,9,3,"material happiness; satisfaction; wish fulfilled",4,1,"truth; loyalty; liberty; imperfect fulfillment"
"Ten of Cups","圣杯十",minor,10,10,4,"contentment; family happiness; lasting harmony",-7,-5,"discord; false heart; disrupted home"
"Page of Cups","圣杯侍从",minor,11,5,3,"message; reflection; study; emotional openness",-4,-2,"seduction; deception; unhealthy attachment"
"Knight of Cups","圣杯骑士",minor,12,7,7,"arrival; invitation; proposition; graceful pursuit",-6,-5,"fraud; trickery; false proposal"
"Queen of Cups","圣杯王后",minor,13,8,3,"devotion; intuition; wisdom; happiness",-7,-3,"vice; corruption; dishonesty; scandal"
"King of Cups","圣杯国王",minor,14,7,5,"responsibility; diplomacy; business; emotional control",-7,-4,"double dealing; dishonesty; concealed vice"
"Ace of Swords","宝剑王牌",minor,1,7,10,"triumph; force; justice; decisive clarity",-7,-8,"excessive force; disaster; destructive conquest"
"Two of Swords","宝剑二",minor,2,1,0,"balance; courage; guarded accord; stalemate",-6,-4,"falsehood; disloyalty; broken balance"
"Three of Swords","宝剑三",minor,3,-7,-6,"division; rupture; absence; sorrow",-6,-4,"confusion; distraction; mental alienation"
"Four of Swords","宝剑四",minor,4,2,-4,"repose; retreat; recovery; solitude",4,3,"wise administration; renewed activity; economy"
"Five of Swords","宝剑五",minor,5,-8,-7,"degradation; defeat; destruction; loss",-7,-5,"lingering loss; weakness; painful aftermath"
"Six of Swords","宝剑六",minor,6,3,4,"journey; transition; route; gradual passage",-3,-2,"unfavorable declaration; stalled transition"
"Seven of Swords","宝剑七",minor,7,-2,4,"design; attempt; stealth; uncertain plan",4,2,"good advice; instruction; plan reconsidered"
